"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"IN01";"IN02";"IN03";"IN04_01";"IN06";"IN07_01";"IN07_02";"IN07_03";"IN09";"IN10";"AF02_01";"AF02_02";"AF02_03";"AF02_04";"AF03_08";"AF03_09";"AF03_10";"AF03_11";"AF03_12";"AG01_01";"AG01_02";"AG01_03";"AG03_01";"AG03_02";"AG03_03";"AG03_04";"AG04_01";"AG04_02";"AG04_03";"AG04_04";"AG05";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
50;;;"base";"interview";2019-07-18 06:42:45;1;-9;7;19;2;4;6;5;3;2;6;7;6;6;6;6;6;5;7;1;6;5;6;3;6;7;2;1;1;1;2;3301;9;45;6;2522;14;78;210;;2019-07-18 08:22:20;1;0;7;7;3;0;0.99;77
51;;;"base";"interview";2019-07-18 08:22:51;1;-9;7;19;2;5;6;5;3;2;7;7;6;7;6;7;7;5;6;7;7;7;7;7;6;7;2;2;3;2;2;35;10;17;486;35;17;29;629;;2019-07-18 08:33:20;1;0;7;7;3;0;1.21;13
53;;;"base";"interview";2019-07-18 09:51:26;1;-9;7;18;2;6;7;5;3;2;7;7;6;7;6;6;7;7;7;7;5;6;3;3;5;5;2;2;1;2;2;43;10;19;3;1016;80;81;1197;;2019-07-18 10:12:18;1;0;7;7;3;0;1;73
54;;;"base";"interview";2019-07-23 04:08:18;1;-9;7;16;2;3;6;4;1;2;6;6;5;5;3;3;6;7;6;3;4;5;3;3;3;7;1;1;1;1;2;205;19;19;6;699;31;61;870;;2019-07-23 04:25:38;1;0;7;7;3;0;0.93;72
55;;;"base";"interview";2019-07-23 04:25:50;1;-9;7;16;2;4;6;5;1;2;6;6;6;7;6;6;6;2;7;6;6;7;6;4;4;5;2;2;2;1;2;36;12;26;10;548;18;51;701;;2019-07-23 04:37:31;1;0;7;7;3;0;1.18;76
56;;;"base";"interview";2019-07-23 04:38:40;1;-9;7;18;1;5;7;5;1;2;6;7;6;7;6;2;7;7;7;6;6;7;7;6;5;5;2;2;1;2;2;44;5;22;2;647;28;50;798;;2019-07-23 04:51:58;1;0;7;7;3;0;1.25;77
57;;;"base";"interview";2019-07-23 04:52:45;1;-9;7;16;1;1;4;2;1;1;2;5;3;5;6;6;6;6;6;6;6;6;6;6;6;6;2;2;2;2;2;79;9;20;2;1103;10;30;1253;;2019-07-23 05:13:38;1;0;7;7;3;0;1.4;87
59;;;"base";"interview";2019-07-23 05:16:20;1;-9;7;17;2;3;2;3;1;2;6;3;2;7;5;5;5;5;6;6;6;6;6;6;6;6;2;2;2;2;2;18;2;8;830;16;6;20;900;;2019-07-23 05:31:20;1;0;7;7;3;0;2.34;90
60;;;"base";"interview";2019-07-23 05:34:04;1;-9;7;17;1;3;4;3;1;1;5;4;4;6;6;3;6;6;6;5;5;5;5;5;5;5;2;2;2;2;1;59;7;18;701;32;25;33;875;;2019-07-23 05:48:39;1;0;7;7;3;0;1.06;8
61;;;"base";"interview";2019-07-23 05:48:57;1;-9;7;18;1;4;5;4;1;1;6;6;6;6;6;3;6;6;6;5;5;5;5;4;5;5;2;1;1;2;2;48;10;17;367;222;23;48;735;;2019-07-23 06:01:12;1;0;7;7;3;0;0.92;3
63;;;"base";"interview";2019-07-25 09:04:58;1;-9;7;17;2;3;5;3;1;2;6;6;4;6;6;5;6;5;6;6;6;6;6;5;5;6;2;2;1;2;1;529;12;20;756;21;21;69;944;;2019-07-25 09:28:46;1;0;7;7;3;0;0.87;7
64;;;"base";"interview";2019-07-25 09:29:09;1;-9;7;17;1;4;6;5;1;2;6;6;6;6;4;4;4;5;5;6;5;5;6;6;6;6;2;2;1;2;2;40;9;21;493;16;29;40;648;;2019-07-25 09:39:57;1;0;7;7;3;0;1.19;12
65;;;"base";"interview";2019-07-25 09:40:49;1;-9;7;17;1;6;6;6;1;2;7;7;6;6;6;3;7;7;7;7;7;7;6;4;5;2;2;1;2;2;2;36;7;30;5;920;33;95;1126;;2019-07-25 09:59:35;1;0;7;7;3;0;1.08;75
66;;;"base";"interview";2019-07-25 10:00:11;1;-9;7;17;1;4;2;2;1;2;7;4;3;7;6;7;7;4;7;6;6;7;7;5;7;7;2;1;1;1;2;46;8;28;4;531;50;66;733;;2019-07-25 10:12:24;1;0;7;7;3;0;1.03;72
67;;;"base";"interview";2019-07-25 10:12:36;1;-9;7;18;1;6;7;3;1;1;7;7;7;7;2;5;7;7;7;6;6;6;5;5;5;7;2;2;1;2;1;104;9;26;408;22;40;56;665;;2019-07-25 10:23:41;1;0;7;7;3;0;0.91;5
68;;;"base";"interview";2019-07-25 10:24:25;1;-9;7;17;1;4;3;3;1;1;5;5;5;5;6;4;6;6;6;6;6;6;6;4;6;4;2;2;2;2;2;116;11;15;786;14;16;37;995;;2019-07-25 10:41:00;1;0;7;7;3;0;1.24;21
69;;;"base";"interview";2019-07-25 10:41:14;1;-9;7;19;2;6;6;6;1;2;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;2;2;2;2;2;51;20;22;548;12;20;31;693;;2019-07-25 10:52:58;1;0;7;7;3;0;1.26;21
70;;;"base";"interview";2019-07-31 08:10:07;1;-9;7;23;2;4;2;2;3;1;3;4;5;5;6;6;6;5;6;6;5;5;6;5;6;6;2;2;2;2;1;16;11;13;14;781;16;23;874;;2019-07-31 08:24:41;1;0;7;7;3;0;1.72;101
71;;;"base";"interview";2019-07-31 08:24:19;1;-9;7;21;1;6;6;5;3;2;5;6;6;5;5;4;5;6;6;5;5;5;4;5;6;6;2;2;3;2;2;30;4;22;554;14;13;37;674;;2019-07-31 08:35:33;1;0;7;7;3;0;1.62;33
72;;;"base";"interview";2019-07-31 08:51:54;1;-9;7;19;1;6;6;6;3;2;6;6;6;6;6;3;6;4;7;7;7;7;6;6;5;5;2;2;2;2;2;27;6;18;444;12;30;50;587;;2019-07-31 09:01:41;1;0;7;7;3;0;1.43;24
73;;;"base";"interview";2019-07-31 09:01:58;1;-9;7;19;1;4;6;5;3;2;6;6;6;7;7;6;6;7;7;7;7;7;7;7;7;7;2;1;1;2;2;19;5;13;3;515;29;29;613;;2019-07-31 09:12:11;1;0;7;7;3;0;1.63;96
74;;;"base";"interview";2019-07-31 09:14:15;1;-9;7;19;3;2;4;1;3;2;6;4;1;7;7;2;7;7;7;7;7;7;6;6;6;5;3;1;2;2;1;131;8;29;3;310;19;38;538;;2019-07-31 09:23:13;1;0;7;7;3;0;1.13;77
75;;;"base";"interview";2019-08-02 10:42:34;1;-9;7;20;2;6;7;7;3;2;6;6;6;5;4;2;6;7;6;3;6;6;5;3;7;7;3;1;1;2;2;428;15;21;384;15;19;42;541;;2019-08-02 10:57:58;1;0;7;7;3;0;1.1;14
76;;;"base";"interview";2019-08-02 15:24:16;2;4;-9;19;1;5;1;1;-9;1;5;3;4;5;6;3;7;7;7;5;7;7;6;5;3;7;2;2;2;2;1;79;7;24;616;39;41;55;861;;2019-08-02 15:38:37;1;0;7;7;6;6;0.83;2
77;;;"base";"interview";2019-08-02 15:38:55;2;3;-9;56;2;7;6;7;-9;2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;2;2;2;2;2;27;9;21;382;17;68;50;531;;2019-08-02 15:48:29;1;0;7;7;6;6;1.17;13
78;;;"base";"interview";2019-08-02 15:48:50;2;3;-9;49;1;5;1;1;-9;1;6;4;3;6;6;7;7;7;7;6;7;7;7;7;6;5;2;2;2;2;2;44;24;37;750;130;51;94;1115;;2019-08-02 16:07:40;1;0;7;7;6;6;0.54;0
79;;;"base";"interview";2019-08-07 08:04:59;1;-9;5;17;1;5;4;3;1;1;6;5;6;7;6;3;7;4;7;6;6;7;6;3;5;6;2;1;2;2;2;31;9;21;460;19;35;56;631;;2019-08-07 08:15:30;1;0;7;7;3;0;1.12;10